Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [Genome reference]
b623e1a0-b6c0-4146-bdf3-fbc35ecfdf6e	TCGA-A7-A0DC-01B-04D-A22R-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	7796806125_R03C02_Grn.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-A7-A0DC-01B-04D-A22R-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-A7-A0DC-01B-04D-A22R-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
b623e1a0-b6c0-4146-bdf3-fbc35ecfdf6e	TCGA-A7-A0DC-01B-04D-A22R-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	7796806125_R03C02_Red.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-A7-A0DC-01B-04D-A22R-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-01B-04D-A22R-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-A7-A0DC-01B-04D-A22R-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
bbf79e49-f83c-49d9-b40a-5de1f36bf396	TCGA-A7-A0CE-11A-21D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	6005486013_R02C02_Grn.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-A7-A0CE-11A-21D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-A7-A0CE-11A-21D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
bbf79e49-f83c-49d9-b40a-5de1f36bf396	TCGA-A7-A0CE-11A-21D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	6005486013_R02C02_Red.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-A7-A0CE-11A-21D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0CE-11A-21D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-A7-A0CE-11A-21D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
52088dc7-859d-4896-8335-c96b13c7019f	TCGA-BH-A0BV-11A-31D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	6005486013_R03C02_Grn.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-BH-A0BV-11A-31D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-BH-A0BV-11A-31D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
52088dc7-859d-4896-8335-c96b13c7019f	TCGA-BH-A0BV-11A-31D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	6005486013_R03C02_Red.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-BH-A0BV-11A-31D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0BV-11A-31D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-BH-A0BV-11A-31D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
205f8070-33ea-4f61-a743-8aaf735a0b30	TCGA-BH-A0DZ-11A-22D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	6005486011_R02C01_Grn.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-BH-A0DZ-11A-22D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-BH-A0DZ-11A-22D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
205f8070-33ea-4f61-a743-8aaf735a0b30	TCGA-BH-A0DZ-11A-22D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	6005486011_R02C01_Red.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-BH-A0DZ-11A-22D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-BH-A0DZ-11A-22D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-BH-A0DZ-11A-22D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
36da685d-df49-495c-9200-28d5ee683604	TCGA-A7-A0DC-11A-41D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	6005486011_R02C02_Grn.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-A7-A0DC-11A-41D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-A7-A0DC-11A-41D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
36da685d-df49-495c-9200-28d5ee683604	TCGA-A7-A0DC-11A-41D-A10Q-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	6005486011_R02C02_Red.idat	jhu-usc.edu_BRCA.HumanMethylation450.Level_1.1.11.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-2.TCGA-A7-A0DC-11A-41D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_2.1.11.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-A7-A0DC-11A-41D-A10Q-05	jhu-usc.edu_BRCA.HumanMethylation450.1.lvl-3.TCGA-A7-A0DC-11A-41D-A10Q-05.txt	jhu-usc.edu_BRCA.HumanMethylation450.Level_3.1.11.0	DNA Methylation	Level 3	yes	HG19
